subject.auto(),number.string(),name.auto(),section.string(),crn.string(),slot.string(),days.auto(),starttime.auto(),endtime.auto(),roombuild.auto(),roomnumber.string(),type.auto(),method.auto(),associatedleclab.string(),phon.auto(),waitlist.auto(),precheck.auto(),reservelifted.auto(),attribute.auto(),credhr.string(),billhr.string(),prime_instr.auto(),secnd_instr.auto(),availto.auto(),reservefordegree.auto(),reserveformajor.auto(),reserveforminor.auto(),xlist.auto()
ARCH,4995,"Honours Essay",001,74729,99,,,,,,SEM,IP,,"D,D",N,Y,,,3,3,,,,,,,
ARCH,4995,"Honours Essay",002,78428,99,,,,,,SEM,IP,,"D,D",N,Y,,,3,3,,,,,,,
BIOC,1600,"Food, Drugs & Your Body",001,95389,18,"T,R",1030,1145,SN,2109,LEC,IP,,"Y,Y",Y,N,,,3,3,M Berry,S Har,,,,,
BIOC,2005,"Food, Food Safety, and Heal",001,92459,05,"M,W,F",1200,1250,C,2004,LEC,IP,,"Y,Y",Y,N,N,,3,3,S Mayengbam,Z Far,,,"BNTR","BIOC",
BIOC,2200,"Intro Molecular Biol & Gen",001,95969,06,"M,T,R",1300,1350,ED,2018,LEC,IP,,"Y,Y",Y,Y,,,3,3,P Kakumani,M Mul,,,,,
BIOC,2201,"Introduction to Biochemistr",001,90309,04,"M,W,F",1100,1150,IIC,2001,LEC,IP,,"Y,Y",Y,Y,,,3,3,V Booth,R Da,,,,,"PHAR 2004-001"
BIOC,3052,"Food Microbiology",001,93083,06,"M,T,R",1300,1350,SN,2041,LEC,,"002","Y,Y",Y,Y,Y,,3,3,,,,,"BIOC,BNTR",,"BIOL 3052-001"
BIOC,3052,"Laboratory",002,98033,61,"M",1400,1650,CSF,4306,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOC,3105,"Physical Biochemistry",001,60136,05,"M,W,F",1200,1250,ED,3034,LEC,IP,"002","Y,Y",Y,Y,,,3,3,J Park,K Wil,,,,,
BIOC,3105,"Laboratory",002,97998,,"W",1400,1600,ED,3034,LAB,IP,"001","Y,Y",N,N,,,0,NA,J Park,K Wil,,,,,
BIOC,3108,"Molecular Bioc of the Cell",001,67713,02,"M,W,F",0900,0950,ED,2018,LEC,IP,,"Y,Y",Y,Y,,,3,3,A Todd,P Kak,,,,,
BIOC,3203,"Fundamentals Human Nutritio",001,77156,16,"T,R",1200,1250,ED,1014,LEC,IP,,"Y,Y",Y,Y,,,3,3,S Mayengbam,Z Far,,,,,
BIOC,3206,"Metabolism",001,92461,03,"M,W,F",1000,1050,ED,2018,LEC,IP,,"Y,Y",Y,Y,,,3,3,S Cheema,A Tod,,,,,"PHAR 3111-001"
BIOC,3906,"Nutr. Biochem. Metabolism L",001,95972,17,"T,R",0900,1015,ED,1014,LEC,IP,"002,004,003","Y,D",Y,Y,N,,3,3,J Brunton,S May,,,"BIOC,BNTR",,
BIOC,3906,"Laboratory",002,95973,63,"W",1400,1650,CSF,4203,LAB,IP,"001","Y,D",N,N,,,0,NA,J Brunton,S May,,,,,
BIOC,3906,"Laboratory",003,95974,64,"R",1400,1650,CSF,4203,LAB,IP,"001","Y,D",N,N,,,0,NA,J Brunton,S May,,,,,
BIOC,3906,"Laboratory",004,97543,65,"F",1400,1650,CSF,4203,LAB,IP,"001","Y,D",N,N,,,0,NA,J Brunton,S May,,,,,
BIOC,4102,"Current Topics in Biochemis",001,61246,20,"T,R",1530,1645,C,3053,LEC,IP,,"Y,D",Y,N,N,,3,3,M Mulligan,K Wil,"Y4,Y5","BSH","BIOC",,
BIOC,4105,"Immunology",001,79114,02,"M,W,F",0900,0950,ED,1020,LEC,IP,,"Y,Y",Y,Y,N,,3,3,S Christian,,,,"BIOC,BNTR","BIOC","PHAR 3006-001,BIOL 4200-001"
BIOC,4231,"Mol Biol Bacteria and Human",001,90981,18,"T,R",1030,1145,A,2065,LEC,IP,,"Y,D",Y,Y,N,,3,3,M Mulligan,,"Y4,Y5",,"BIOC,BIOL,BNTR","BIOC",
BIOC,4232,"Enzymes & Receptors",001,94899,16,"T,R",1200,1250,SN,1103,LEC,IP,,"Y,Y",Y,N,,,3,3,J Park,M Ber,"Y4,Y5",,,,
BIOC,4300,"Advanced Nutrition",001,95977,20,"T,R",1530,1645,SN,3058,LEC,IP,,"Y,Y",Y,Y,N,,3,3,R Bertolo,,,,"BNTR","BIOC",
BIOC,499A,"Dissertation",001,95978,,"T,R",1700,1800,SN,2036,DST,IP,,"Y,D",Y,Y,N,,0,3,V Booth,S Har,"Y4,Y5","BSH,BSH","BIOC,BNTR",,
BIOC,499B,"Dissertation",001,60148,,"T,R",1700,1800,SN,2036,DST,IP,,"Y,D",Y,Y,N,,6,3,V Booth,S Har,"Y4,Y5","BSH,BSH","BIOC,BNTR",,
BIOL,1001,"Principles of Biology",001,64724,05,"M,W,F",1200,1250,ED,1020,LEC,,"003,004,002,005,006","Y,Y",Y,Y,,,3,3,P Trela,,,,,,
BIOL,1001,"Laboratory",002,97544,61,"M",1400,1650,CSF,2307,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,1001,"Laboratory",003,60031,62,"T",1400,1650,CSF,2307,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,1001,"Laboratory",004,60033,63,"W",1400,1650,CSF,2307,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,1001,"Laboratory",005,64723,64,"R",1400,1650,CSF,2307,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,1001,"Laboratory",006,60034,42,"T",0900,1150,CSF,2307,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,1002,"Principles of Biology",001,60041,02,"M,W,F",0900,0950,IIC,2001,LEC,,"003,004,005,014,002,007,006","Y,Y",Y,Y,,,3,3,J Slade,,,,,,
BIOL,1002,"Laboratory",002,66657,61,"M",1400,1650,CSF,2339,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,1002,"Laboratory",003,60044,62,"T",1400,1650,CSF,2339,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,1002,"Laboratory",004,60047,63,"W",1400,1650,CSF,2339,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,1002,"Laboratory",005,60052,64,"R",1400,1650,CSF,2339,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,1002,"Laboratory",006,61946,65,"F",1400,1650,CSF,2339,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,1002,"Laboratory",007,66817,42,"T",0900,1150,CSF,2339,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,1002,"Laboratory",008,97546,42,"T",0900,1150,CSF,2302,LAB,,"009","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,1002,"Principles of Biology",009,60053,08,"M,W,F",1500,1550,SN,2109,LEC,,"010,011,008,013,012","Y,Y",Y,Y,,,3,3,J Slade,,,,,,
BIOL,1002,"Laboratory",010,63317,43,"W",0900,1150,CSF,2339,LAB,,"009","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,1002,"Laboratory",011,63319,44,"R",0900,1150,CSF,2339,LAB,,"009","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,1002,"Laboratory",012,63321,62,"T",1400,1650,CSF,2302,LAB,,"009","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,1002,"Laboratory",013,64725,64,"R",1400,1650,CSF,2302,LAB,,"009","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,1002,"Laboratory",014,97545,61,"M",1400,1650,CSF,2302,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,2010,"Biology Of Plants",001,78922,02,"M,W,F",0900,0950,ED,1014,LEC,,"003,002,004","Y,Y",Y,Y,Y,,3,3,J Roncal,,,,"BCMC,BCML,BCOP,BE/C,BIOL,BMRN,MNBL","BIOL",
BIOL,2010,"Laboratory",002,97547,61,"M",1400,1650,CSF,2325,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,2010,"Laboratory",003,78924,62,"T",1400,1650,CSF,2325,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,2010,"Laboratory",004,78926,63,"W",1400,1650,CSF,2325,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,2040,"Mod Biol & Human Soc I",001,77209,07,"M,W,F",1400,1450,SN,2109,LEC,,,"Y,Y",N,N,,W,3,3,A Ghosh,,,,,,
BIOL,2041,"Mod Biol & Human Soc II",001,68531,18,"T,R",1030,1145,SN,2098,LEC,,,"Y,Y",Y,N,,W,3,3,P Trela,,,,,,
BIOL,2060,"Principles of Cell Biology",001,65920,06,"M,T,R",1300,1350,EN,2043,LEC,,"003,004,002,006,005","Y,Y",Y,Y,Y,,3,3,B Staveley,,,,"BCMC,BCML,BCOP,BE/C,BIOL,BMRN,MNBL","BIOL",
BIOL,2060,"Laboratory",002,97548,61,"M",1400,1650,CSF,4323,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,2060,"Laboratory",003,64731,62,"T",1400,1650,CSF,4323,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,2060,"Laboratory",004,64732,63,"W",1400,1650,CSF,4323,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,2060,"Laboratory",005,64733,64,"R",1400,1650,CSF,4323,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,2060,"Laboratory",006,64734,65,"F",1400,1650,CSF,4323,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,2210,"Biology of Vertebrates",001,96596,17,"T,R",0900,1015,ED,1020,LEC,,"003,004,002,056,005","Y,Y",Y,Y,Y,,3,3,E Vander Wal,,,,"BCMC,BCML,BCOP,BE/C,BIOL,BMRN,MNBL","BIOL",
BIOL,2210,"Laboratory",002,97549,61,"M",1400,1650,CSF,2311,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,2210,"Laboratory",003,60087,62,"T",1400,1650,CSF,2311,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,2210,"Laboratory",004,60088,63,"W",1400,1650,CSF,2311,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,2210,"Laboratory",005,60089,64,"R",1400,1650,CSF,2311,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,2210,"Laboratory",056,61950,,"T",1800,2050,CSF,2311,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,2900,"Prncpl Evolution & Systemat",001,64736,18,"T,R",1030,1145,EN,2040,LEC,,"003,002,005,004","Y,Y",Y,Y,Y,,3,3,J Roncal,,,,"BCMC,BCML,BCOP,BE/C,BIOL,BMRN,MNBL","BIOL",
BIOL,2900,"Laboratory",002,97556,61,"M",1400,1650,CSF,2305,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,2900,"Laboratory",003,64738,62,"T",1400,1650,CSF,2305,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,2900,"Laboratory",004,64748,63,"W",1400,1650,CSF,2305,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,2900,"Laboratory",005,92752,64,"R",1400,1650,CSF,2305,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,299W,"Work Term II",001,93812,99,,,,,,WRK,,,"N,N",N,Y,,,0,NA,,,,,,,
BIOL,3052,"Food Microbiology",001,92754,06,"M,T,R",1300,1350,SN,2041,LEC,,"002","Y,Y",Y,Y,N,,3,3,D Bignell,,,,"BCML,BE/C,BIOC,BIOL,BMRN,BNTR","BIOL","BIOC 3052-001"
BIOL,3052,"Laboratory",002,98032,61,"M",1400,1650,CSF,4306,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,3053,"Laboratory",001,71970,,"T",1600,1800,CSF,4306,LAB,,"056","Y,D",N,N,,,0,NA,A Ghosh,,,,,,
BIOL,3053,"Laboratory",002,71972,,"R",1600,1800,CSF,4306,LAB,,"056","Y,D",N,N,,,0,NA,A Ghosh,,,,,,
BIOL,3053,"Laboratory",003,71974,,"F",1330,1530,CSF,4306,LAB,,"056","Y,D",N,N,,,0,NA,A Ghosh,,,,,,
BIOL,3053,"Laboratory",004,71976,,"W",1100,1300,CSF,4306,LAB,,"056","Y,D",N,N,,,0,NA,A Ghosh,,,,,,
BIOL,3053,"Laboratory",005,92781,,"R",1600,1800,CSF,4306,LAB,,"056","Y,D",N,N,,,0,NA,A Ghosh,,,,,,
BIOL,3053,"Laboratory",006,92783,,"F",1330,1530,CSF,4306,LAB,,"056","Y,D",N,N,,,0,NA,A Ghosh,,,,,,
BIOL,3053,"Laboratory",007,74033,,"F",0900,1100,CSF,4306,LAB,,"056","Y,D",N,N,,,0,NA,A Ghosh,,,,,,
BIOL,3053,"Laboratory",008,74041,,"R",1300,1500,CSF,4306,LAB,,"056","Y,D",N,N,,,0,NA,A Ghosh,,,,,,
BIOL,3053,"Laboratory",009,74043,,"R",0930,1130,CSF,4306,LAB,,"056","Y,D",N,N,,,0,NA,A Ghosh,,,,,,
BIOL,3053,"Laboratory",010,92785,,"W",1100,1300,CSF,4306,LAB,,"056","Y,D",N,N,,,0,NA,A Ghosh,,,,,,
BIOL,3053,"Laboratory",011,92787,,"F",0900,1100,CSF,4306,LAB,,"056","Y,D",N,N,,,0,NA,A Ghosh,,,,,,
BIOL,3053,"Laboratory",012,97557,,"T",1300,1450,CSF,4306,LAB,,"056","Y,D",N,N,,,0,NA,A Ghosh,,,,,,
BIOL,3053,"Laboratory",013,98794,,"T",1030,1230,CSF,4306,LAB,IP,"056","Y,D",N,Y,,,0,NA,A Ghosh,,,,,,
BIOL,3053,"Microbiology for Nurses",056,71968,,"W,R",1900,2015,SN,2109,LEC,,"001,002,003,004,007,008,013,005,006,010,011,012","Y,D",N,Y,N,,3,3,A Ghosh,,,,"NURA,NURC",,
BIOL,3295,"Popltn & Evltnry Ecology",001,97437,16,"T,R",1200,1250,SN,3060,LEC,,,"Y,Y",Y,Y,,,3,3,A Hurford,,,,,,
BIOL,3402,"Princpl Plant Physiology",001,98036,03,"M,W,F",1000,1050,SN,4078,LEC,,"002","Y,Y",Y,Y,Y,,3,3,A Ghosh,,,,"BCMC,BCML,BCOP,BE/C,BIOL,BMRN,MNBL","BIOL",
BIOL,3402,"Laboratory",002,98037,64,"R",1400,1650,C,4002,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,3640,"Enviro Physiology of Animal",001,88646,17,"T,R",0900,1015,SN,3042,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,I Mcgaw,,,,"BCMC,BCML,BCOP,BE/C,BIOL,BMRN,MNBL","BIOL","OCSC 3640-001"
BIOL,3711,"Principles of Marine Biolog",001,90618,04,"M,W,F",1100,1150,SN,2041,LEC,,"002","Y,Y",Y,Y,Y,,3,3,S Dufour,,,,"BCMC,BCML,BCOP,BE/C,BIOL,BMRN,MNBL","BIOL",
BIOL,3711,"Laboratory",002,98283,61,"M",1400,1650,CSF,2331,LAB,,"001","Y,Y",N,Y,,,0,NA,,,,,,,
BIOL,3715,"Ecology & Evolution of Fish",001,94127,16,"T,R",1200,1250,SN,2041,LEC,,"002","Y,Y",Y,Y,Y,,3,3,C Purchase,,,,"BCMC,BCML,BCOP,BE/C,BIOL,BMRN,MNBL","BIOL",
BIOL,3715,"Laboratory",002,98285,64,"R",1400,1650,CSF,2313,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,3750,"Animal Behaviour I",001,76062,03,"M,W,F",1000,1050,C,4036,LEC,IP,,"Y,D",Y,Y,N,L,3,3,P Bitton,,,,"BCML,BCOP,BE/C,BIOL,MNBL",,"PSYC 3750-001"
BIOL,3811,"Paleontology",001,95068,03,"M,W,F",1000,1050,ER,3009,LEC,IP,"002","Y,Y",Y,Y,,,3,3,H Corlett,,,,,,"EASC 3811-001"
BIOL,3811,"Laboratory",002,97610,63,"W",1400,1650,ER,3010,LAB,IP,"001","Y,Y",N,N,,,0,NA,H Corlett,,,,,,
BIOL,399W,"Work Term III",001,84842,99,,,,,,WRK,,,"N,N",N,Y,,,0,NA,,,,,,,
BIOL,4050,"Advanced Topics Microbiolog",001,98520,03,"M,W,F",1000,1050,C,4002,LEC,IP,"002","Y,Y",Y,Y,Y,,3,3,A Siddiqui,,,,"BCMC,BCML,BCOP,BE/C,BIOL,BMRN,MNBL","BIOL",
BIOL,4050,"Laboratory",002,98522,62,"T",1400,1650,CSF,4320,LAB,IP,"001","Y,Y",N,N,,,0,NA,A Siddiqui,,,,,,
BIOL,4200,"Immunology",001,86994,02,"M,W,F",0900,0950,ED,1020,LEC,IP,,"Y,Y",Y,Y,,,3,3,S Christian,,,,,,"BIOC 4105-001,PHAR 3006-001"
BIOL,4241,"Advanced Genetics",001,72526,18,"T,R",1030,1145,ED,4034,LEC,,"002","Y,Y",Y,Y,Y,,3,3,H Marshall,,,,"BCMC,BCML,BCOP,BE/C,BIOL,BMRN,MNBL","BIOL",
BIOL,4241,"Laboratory",002,98289,63,"W",1400,1650,SN,4078,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,4245,"Biophysics",001,98291,05,"M,W,F",1200,1250,C,3053,LEC,,"002","Y,Y",Y,Y,Y,,3,3,J Wheeler,,,,"BCMC,BCML,BCOP,BE/C,BIOL,BMRN,MNBL","BIOL",
BIOL,4245,"Laboratory",002,98292,65,"F",1400,1650,CSF,,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,4306,"Applied Biology",001,95936,17,"T,R",0900,1015,A,1043,LEC,,,"Y,Y",Y,Y,Y,,3,3,P Marino,,,,"BCMC,BCML,BCOP,BE/C,BIOL,BMRN,MNBL","BIOL","ENVS 6003-001"
BIOL,4404,"Microbial Physiology",001,81256,05,"M,W,F",1200,1250,SN,3060,LEC,,"002","Y,Y",Y,Y,Y,,3,3,K Tahlan,,,,"BCMC,BCML,BCOP,BE/C,BIOL,BMRN,MNBL","BIOL",
BIOL,4404,"Laboratory",002,68527,64,"R",1400,1650,CSF,4320,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,4405,"Landscape Ecology",001,98295,06,"M,T,R",1300,1350,SN,3060,LEC,,,"Y,Y",Y,Y,Y,,3,3,Y Wiersma,,,,"BCMC,BCML,BCOP,BE/C,BIOL,BMRN,MNBL","BIOL",
BIOL,4607,"Models in Biology",001,97038,18,"T,R",1030,1145,SN,4063,LEC,,"002","Y,Y",Y,Y,,,3,3,S Leroux,,,,,,
BIOL,4607,"Laboratory",002,98325,62,"T",1400,1650,,,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,4630,"Mammalogy",001,98297,04,"M,W,F",1100,1150,SN,1019,LEC,,"002","Y,Y",Y,Y,Y,,3,3,E Miller,,,,"BCMC,BCML,BCOP,BE/C,BIOL,BMRN,MNBL","BIOL",
BIOL,4630,"Laboratory",002,98326,65,"F",1400,1650,CSF,2313,LAB,,"001","Y,Y",N,N,,,0,NA,,,,,,,
BIOL,4701,"Animal Behaviour II",001,84952,03,"M,W,F",1000,1050,SN,2101,LEC,,"002","Y,Y",Y,Y,Y,,3,3,I Jones,,,,"BCMC,BCML,BCOP,BE/C,BIOL,BMRN,MNBL","BIOL","BIOL 6351-001"
BIOL,4701,"Laboratory",002,98298,61,"M",1400,1650,C,3053,LAB,,"001","Y,Y",N,Y,,,0,NA,,,,,,,
BIOL,4915,"Sp Tpcs in Social Insects",001,98524,04,"M,W,F",1100,1150,SN,2101,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,T Chapman,,,,"BCMC,BCML,BCOP,BE/C,BIOL,BMRN,MNBL","BIOL",
BIOL,499A,"Honours Dissertation",001,60126,99,,,,,,DST,,,"N,N",N,N,,,0,3,,,,,,,
BIOL,499B,"Honours Dissertation",001,60127,99,,,,,,DST,,,"N,N",N,Y,,,6,3,,,,,,,
BUSI,1000,"Intro to Business in Societ",001,96652,17,"T,R",0900,1015,EN,1054,LEC,IP,,"Y,Y",Y,N,Y,,3,3,C Clouston,,,"BBA,BCN,CBAD,DBA,IBBA","MUBC,MUBU",,
BUSI,1210,"Intro to Marketing Strategy",001,98497,12,"M,W",1230,1345,BN,3007,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,R Preston,,,"BBA,BCN,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,2010,"Business Research & Writing",001,98042,19,"T,R",1400,1515,BN,1010,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,A Kim,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,2010,"Business Research & Writing",002,96653,23,"T,R",1230,1345,BN,1010,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,A Kim,,,"BBA,BC,CBAD,DBA,IBBA","MUBC,MUBP,MUBU","BUSI,INBU",
BUSI,2012,"Business Professionalism",056,98046,32,"W",1900,2130,BN,1010,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,J Bartlett,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,2111,"Intro Financial Accounting",001,98048,23,"T,R",1230,1345,BN,2028,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,N Wans,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,2112,"Intro Management Account",001,98051,13,"M,W",1400,1515,BN,2028,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,A Power,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,2112,"Intro Management Account",002,98499,20,"T,R",1530,1645,BN,2028,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,R Negi,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,2210,"Intro to Marketing Tactics",001,96253,17,"T,R",0900,1015,BN,3007,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,K Shannahan,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,2210,"Intro to Marketing Tactics",002,96190,18,"T,R",1030,1145,BN,3007,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,K Shannahan,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,2400,"Decision Modeling",001,77377,19,"T,R",1400,1515,BN,3007,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,D Tulett,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,2400,"Decision Modeling",002,93033,20,"T,R",1530,1645,BN,3007,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,D Tulett,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,2600,"Entrepren Think/Behaviour",001,98055,12,"M,W",1230,1345,BN,1010,LEC,IP,,"Y,Y",Y,N,Y,,3,3,C Bazan,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,2600,"Entrepren Think/Behaviour",002,98057,20,"T,R",1530,1645,BN,1010,LEC,IP,,"Y,Y",Y,N,Y,,3,3,C Bazan,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,2600,"Entrepren Think/Behaviour",056,98059,G26,"T,R",1730,1845,BN,1010,LEC,IP,,"Y,Y",Y,N,Y,,3,3,C Bazan,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,2710,"Modeling & Impl Busi Proces",001,77387,14,"M,W",1530,1645,BN,3007,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,J Evermann,,,"BBA,BC,CBAD,DBA,IBBA","MUBC,MUBP,MUBU","BUSI,INBU",
BUSI,3005,"Business Law I",001,98501,10,"M,W",0900,1015,BN,3007,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,D Bennett,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
BUSI,3160,"Cost Accounting",001,98064,17,"T,R",0900,1015,,,LEC,IP,,"Y,Y",Y,Y,Y,,3,3,D Dober,,,"BBA,BC,CBAD,DBA,IBBA","MUBU","BUSI,INBU",
